callsign,origin,destination,aircraft_type,time,cargo
SKW4273,KMSP,KBRD,CRJ7,09:15,false
DAL611,KMSP,MMMX,A319,09:19,false
DAL2102,KMSP,KLAX,B753,09:20,false
DAL2078,KMSP,KSFO,A321,09:24,false
DAL1208,KMSP,KMCO,B753,09:27,false
DAL2208,KMSP,KPHX,B739,09:28,false
EDV4951,KMSP,KATW,CRJ7,09:32,false
SKW3971,KMSP,KRAP,CRJ9,09:33,false
SCX471,KMSP,PANC,B738,09:40,false
UAL1929,KMSP,KORD,B738,09:47,false
DAL2057,KMSP,KCLE,BCS1,10:00,false
DAL1567,KMSP,KORD,BCS3,10:00,false
EDV5063,KMSP,KRIC,CRJ7,10:00,false
SKW4261,KMSP,KXWA,CRJ7,10:00,false
DAL2970,KMSP,KDFW,A320,10:03,false
SKW3666,KMSP,KDLH,CRJ9,10:04,false
DAL2655,KMSP,KBOS,A321,10:05,false
DAL2764,KMSP,KLGA,A321,10:05,false
DAL561,KMSP,KMKE,BCS1,10:05,false
DAL2383,KMSP,KSJC,A320,10:05,false
DAL2696,KMSP,KTPA,B739,10:05,false
EDV4705,KMSP,KRST,CRJ9,10:07,false
SKW3920,KMSP,KGRB,CRJ9,10:09,false
DAL2062,KMSP,KAUS,A320,10:10,false
DAL312,KMSP,PHNL,A333,10:10,false
SKW4144,KMSP,KMOT,CRJ9,10:10,false
DAL1224,KMSP,KPVD,A319,10:10,false
SKW4102,KMSP,KMSN,CRJ9,10:12,false
DAL2550,KMSP,KCMH,BCS1,10:14,false
UAL1637,KMSP,KEWR,A319,10:14,false
EDV4899,KMSP,KCID,CRJ7,10:16,false
SKW3683,KMSP,CYWG,E75L,10:18,false
DAL1608,KMSP,KMCI,BCS1,10:20,false
DAL2521,KMSP,KRDU,BCS3,10:21,false
DAL2673,KMSP,KIAH,BCS3,10:24,false
DAL1701,KMSP,KSMF,B739,10:24,false
SKW3995,KMSP,KTVC,CRJ9,10:24,false
DAL2983,KMSP,KDCA,A319,10:25,false
SWA4345,KMSP,KMDW,B737,10:25,false
DAL2463,KMSP,KCHS,A320,10:30,false
DAL2819,KMSP,KCLT,BCS1,10:30,false
DAL1853,KMSP,KGEG,A320,10:30,false
ENY4162,KMSP,KORD,E170,10:31,false
DAL1046,KMSP,KATL,A321,10:32,false
AAL2152,KMSP,KDFW,B738,10:34,false
DAL2462,KMSP,KVPS,B739,10:35,false
SKW3838,KMSP,KOMA,E75L,10:39,false
DAL121,KMSP,RJTT,A359,10:40,false
LYM5111,KMSP,KIWD,E145,10:45,false
SWA342,KMSP,KAUS,B737,10:55,false
AAL2154,KMSP,KCLT,A319,10:56,false
DAL2927,KMSP,KDEN,A321,11:00,false
DAL2167,KMSP,KPDX,A321,11:00,false
DAL2074,KMSP,KSFO,B739,11:00,false
DAL2081,KMSP,KSNA,BCS1,11:00,false
SCX1951,KMSP,CYVR,B738,11:00,false
DAL2679,KMSP,KPHL,BCS3,11:09,false
EDV4992,KMSP,KBIS,CRJ9,11:10,false
DAL2238,KMSP,KLAS,B752,11:10,false
DAL889,KMSP,KSEA,B753,11:10,false
SKW3771,KMSP,KFAR,E75L,11:14,false
DAL2487,KMSP,CYYC,A321,11:20,false
EDV4820,KMSP,KMDW,CRJ7,11:28,false
DAL2119,KMSP,KLAX,A21N,11:30,false
UAL576,KMSP,KORD,B737,11:32,false
DAL2274,KMSP,KPHX,B752,11:32,false
UAL2232,KMSP,KDEN,A320,11:34,false
SWA4346,KMSP,KDEN,B738,11:35,false
SKW3534,KMSP,KFSD,CRJ9,11:38,false
DAL2125,KMSP,KSAN,A321,11:38,false
DAL2982,KMSP,KBOI,A320,11:39,false
DAL1241,KMSP,CYVR,A321,11:45,false
UAL1795,KMSP,KIAH,B39M,12:05,false
RPA3695,KMSP,KIAD,E75L,12:17,false
