callsign,origin,destination,aircraft_type,time,cargo
DAL448,KSEA,KMCO,A21N,07:40,false
JBU883,KJFK,KMCO,A321,07:43,false
SWA2129,KIND,KMCO,B38M,07:45,false
FFT1563,KMCO,KATL,A21N,07:45,false
SWA2835,KMCO,KMDW,B38M,07:45,false
UPS5359,KMCO,KSDF,B763,07:45,true
FFT363,KMCO,MHLM,A20N,07:45,false
DAL1337,KRDU,KMCO,A320,07:47,false
SWA4288,KBNA,KMCO,B738,07:50,false
SWA4242,KMCO,KBDL,B737,07:50,false
SWA2702,KMCO,TJSJ,B738,07:50,false
AAL3018,KMCO,KORD,B38M,07:51,false
SWA212,KATL,KMCO,B738,07:55,false
SWA1482,KMCO,KMHT,B738,07:55,false
SWA1823,KMCO,KRDU,B38M,07:55,false
SWA2085,KMCO,KSDF,B738,07:55,false
FFT2415,KPHL,KMCO,A321,07:55,false
SWA2591,KMCO,KATL,B737,08:00,false
JBU552,KMCO,KBOS,A320,08:00,false
AAL1525,KMCO,KCLT,A321,08:00,false
UAL1714,KMCO,KDEN,A21N,08:00,false
JBU2821,KMCO,KLAS,A321,08:00,false
SWA3721,TJSJ,KMCO,B738,08:00,false
JBU1434,TJSJ,KMCO,A320,08:01,false
JBU2841,KMCO,MYNN,A320,08:02,false
CMP435,KMCO,MPTO,B738,08:03,false
DAL1463,KMCO,KATL,B752,08:05,false
SWA436,KMCO,KBHM,B738,08:05,false
SWA4679,KSDF,KMCO,B738,08:05,false
UAL2855,KMCO,KSFO,B739,08:09,false
SWA155,KMCO,KBWI,B38M,08:10,false
SWA4721,KMCO,KIND,B38M,08:10,false
JBU1777,KMCO,MDPC,A320,08:10,false
FFT1098,KMCO,TJBQ,A20N,08:10,false
SWA704,KMCO,KHOU,B38M,08:15,false
SWA4580,KDCA,KMCO,B737,08:20,false
SWA2764,KMCO,KBNA,B738,08:20,false
SWA2629,KMCO,KDEN,B737,08:20,false
SWA2618,KPVD,KMCO,B737,08:20,false
SWA4483,KHOU,KMCO,B38M,08:25,false
SCX1646,KMCO,KMSP,B738,08:25,false
SWA4358,KSTL,KMCO,B38M,08:25,false
SWA3850,KMCO,KMCI,B738,08:30,false
CSB599,KMCO,KMIA,B752,08:30,true
SWA4663,KMSY,KMCO,B38M,08:30,false
FFT2668,KCLE,KMCO,A321,08:31,false
AAL2172,KMCO,KDFW,A321,08:31,false
AAL465,KMCO,KORD,A321,08:33,false
UAL1267,KSFO,KMCO,B39M,08:34,false
FDX605,KFLL,KMCO,B763,08:35,true
SWA2127,KMCO,KBUF,B738,08:35,false
AAL2593,KMCO,KMIA,A21N,08:35,false
FFT2741,KTTN,KMCO,A20N,08:35,false
SWA4495,KMCO,KLAX,B38M,08:40,false
AAL629,KMCO,KPHL,A319,08:40,false
SWA199,KMKE,KMCO,B38M,08:40,false
DAL1337,KMCO,KRDU,A320,08:43,false
JBU2024,KMCO,KDCA,BCS3,08:44,false
SWA2209,KMCI,KMCO,B738,08:45,false
SWA582,KMCO,KALB,B738,08:45,false
SWA4608,KSAT,KMCO,B38M,08:45,false
JBU127,KEWR,KMCO,A320,08:48,false
FFT1684,KMCO,KBDL,A20N,08:48,false
SWA2533,KBDL,KMCO,B738,08:50,false
AAL2090,KMIA,KMCO,A21N,08:50,false
UAL276,KMCO,KIAD,B739,08:51,false
FFT3273,KBWI,KMCO,A21N,08:52,false
AAL592,KDCA,KMCO,A319,08:55,false
SWA4501,KMCO,KSTL,B737,08:55,false
DAL2204,KATL,KMCO,B752,08:56,false
JBU2920,KALB,KMCO,A320,08:59,false
SWA269,KBHM,KMCO,B737,09:00,false
SWA268,KMCO,KAUS,B737,09:00,false
JBU284,KMCO,KJFK,A320,09:00,false
FFT1542,KMCO,KPHL,A20N,09:00,false
