callsign,origin,destination,aircraft_type,time,cargo
UAL1761,KORD,KMSY,B739,20:11,false
GJS4434,KCHA,KORD,CRJ7,20:12,false
UAL1098,KLGA,KORD,B738,20:12,false
UAL768,KORD,KFAT,B737,20:12,false
UAL2311,KMIA,KORD,B739,20:13,false
ENY3717,KMSN,KORD,E75L,20:13,false
ENY3407,KAVP,KORD,E75L,20:14,false
UAL675,KDEN,KORD,A21N,20:14,false
ENY4275,KORD,KCAE,E170,20:14,false
SKW4681,KGRB,KORD,CRJ2,20:15,false
UAL533,KORD,KBZN,B738,20:15,false
GTI755,PANC,KORD,B748,20:15,true
UAL2088,TJSJ,KORD,A21N,20:15,false
AAL2440,KFLL,KORD,B738,20:16,false
ENY3684,KORD,KCAK,E170,20:16,false
RPA4537,KSTL,KORD,E75S,20:17,false
SKW5751,KCLT,KORD,E75L,20:18,false
UAL2499,KORD,KLAX,A21N,20:18,false
UAL658,KORD,KONT,B739,20:18,false
RPA4615,KORD,KRDU,E75L,20:19,false
RPA4673,KORD,KROA,E75L,20:19,false
UAL1084,KCLE,KORD,A320,20:20,false
SKW5082,KCMX,KORD,CRJ2,20:20,false
UAL980,KORD,EIDW,B788,20:20,false
ASA329,KORD,KSEA,B39M,20:20,false
QTR44T,KORD,OTHH,B77L,20:20,true
UAL1779,KSAN,KORD,A21N,20:20,false
UAL1990,KAUS,KORD,A320,20:21,false
DAL2130,KORD,KMSP,BCS1,20:21,false
UAL2101,KSEA,KORD,B738,20:21,false
SKW6013,KDLH,KORD,CRJ2,20:22,false
ENY3479,KCOU,KORD,E75L,20:23,false
UAL706,KLAS,KORD,A21N,20:23,false
RPA4457,KMEM,KORD,E75L,20:23,false
RPA4426,KIAH,KORD,E75L,20:24,false
SCX262,KORD,KMSP,B738,20:24,false
GJS4467,KFSD,KORD,CRJ7,20:26,false
UAL1352,KSNA,KORD,B38M,20:26,false
SKW6476,KMLI,KORD,CRJ7,20:27,false
UAL1686,KPHX,KORD,B739,20:27,false
SKW4973,KDSM,KORD,CRJ7,20:28,false
RPA3597,KMSY,KORD,E75L,20:28,false
ENY3740,KPIA,KORD,E170,20:28,false
ENY3406,KAVL,KORD,E75L,20:29,false
AAL1893,KDFW,KORD,B738,20:29,false
AAL814,KGEG,KORD,B738,20:29,false
AAL1951,KIND,KORD,B738,20:29,false
SKW5653,KMKE,KORD,CRJ2,20:29,false
SKW6211,KMKE,KORD,CRJ7,20:29,false
AAL2198,KMSY,KORD,A319,20:29,false
ENY3456,KORD,CYYZ,E75L,20:29,false
AAL2682,KORD,KBOS,B738,20:29,false
AAL353,KORD,KTPA,B38M,20:29,false
SKW4792,KSGF,KORD,CRJ2,20:29,false
UAL1046,KATL,KORD,B739,20:30,false
SKW4679,KBNA,KORD,E75L,20:30,false
UAL1564,KDFW,KORD,A320,20:30,false
SKW6050,KDSM,KORD,E75L,20:30,false
RPA4400,KMHT,KORD,E75S,20:30,false
SKW5390,KMSP,KORD,E75L,20:30,false
UAL602,KORD,KPHX,B39M,20:30,false
UAL2243,KORD,KRNO,B39M,20:30,false
GJS4483,KTUL,KORD,CRJ7,20:30,false
DAL1665,KDTW,KORD,B712,20:31,false
UAL1193,KDCA,KORD,A21N,20:32,false
ENY4164,KORF,KORD,E75L,20:32,false
DAL2486,KATL,KORD,B739,20:33,false
UAL303,KMCI,KORD,A320,20:33,false
UAL2797,KPHL,KORD,B738,20:33,false
UAL1316,KSAT,KORD,B737,20:33,false
UAL2766,KSMF,KORD,B38M,20:33,false
GJS4177,KCVG,KORD,CRJ7,20:34,false
SKW6012,KJAX,KORD,E75L,20:34,false
UAL1476,KOMA,KORD,A320,20:34,false
ENY3458,KCID,KORD,E75L,20:35,false
RPA3444,KCMH,KORD,E75L,20:35,false
ENY3607,KORD,KGSP,E170,20:35,false
UAE5WR,KORD,OMDB,B77W,20:35,false
RPA4729,KGRR,KORD,E75L,20:37,false
ENY3471,KICT,KORD,E75L,20:37,false
RPA3657,KIND,KORD,E75L,20:37,false
SKW5588,KPIT,KORD,E75L,20:37,false
ENY3490,KCWA,KORD,E170,20:38,false
RPA4724,KOMA,KORD,E75S,20:38,false
UAL2336,KPDX,KORD,B739,20:38,false
SKW4972,KORD,KDAY,CRJ7,20:39,false
GJS4165,KSTL,KORD,CRJ7,20:39,false
UAL1015,KBOS,KORD,A21N,20:40,false
UAL1744,KBZN,KORD,A320,20:40,false
UAL352,KDEN,KORD,A21N,20:40,false
UAL2487,KLAX,KORD,A21N,20:40,false
SKW5135,KMCW,KORD,CRJ2,20:40,false
SKW5336,KMEM,KORD,CRJ7,20:40,false
JZA914,KORD,CYYZ,E75S,20:40,false
AAL54,KORD,EGLL,B789,20:40,false
GJS4563,KSDF,KORD,CRJ7,20:40,false
UAL2072,KSLC,KORD,B737,20:40,false
SKW5639,KXNA,KORD,CRJ7,20:40,false
JZA549,CYTZ,KORD,DH8D,20:41,false
SKW6380,KTVC,KORD,CRJ7,20:44,false
AAL2520,KSEA,KORD,B38M,20:45,false
SKW4943,KORD,KBTV,CRJ7,20:47,false
RPA4594,KORD,KIND,E75S,20:47,false
AAL613,KORD,KLAX,A321,20:49,false
ENY3963,KORD,KSGF,E75L,20:50,false
ENY3559,KGSP,KORD,E75L,20:51,false
FFT3174,KDEN,KORD,A21N,20:52,false
AAL1632,KORD,CYYC,B738,20:53,false
AAL2976,KORD,KCLT,A321,20:54,false
AAL332,KORD,KPHX,A321,20:54,false
ENY3817,KORD,KSYR,E170,20:54,false
ENY3410,KATW,KORD,E170,20:55,false
RPA4445,KORD,KCMH,E75L,20:55,false
AAL1187,KORD,KDCA,A319,20:55,false
DAL2513,KLGA,KORD,BCS3,20:56,false
AAL2167,KORD,KRDU,A319,20:56,false
FFT2112,KORD,KPHL,A21N,20:58,false
AAL1554,KBOS,KORD,B738,20:59,false
ENY3463,KORD,KALB,E75L,20:59,false
AAL2600,KORD,KDFW,B738,20:59,false
AAL1465,KORD,KLAS,B738,20:59,false
AAL2661,KORD,KTUS,A319,20:59,false
UAL1998,KEWR,KORD,A21N,21:00,false
EIN124,KORD,EIDW,A333,21:00,false
ENY3377,KORD,KFAR,E75L,21:00,false
SKW6291,KRST,KORD,CRJ7,21:00,false
AAL2768,KTPA,KORD,B738,21:01,false
UAL1777,KSFO,KORD,B753,21:03,false
ENY3511,KEVV,KORD,E170,21:04,false
ENY3913,KORD,KICT,E75L,21:04,false
AAL3144,KORD,KIAH,B738,21:07,false
CLX272,PANC,KORD,B748,21:07,true
RPA4539,KORD,KPIT,E75S,21:08,false
AAL1094,KORD,KSMF,B738,21:08,false
RPA4403,KORD,KPWM,E75L,21:09,false
AAL2457,KORD,KSAN,A321,21:10,false
EVA056,RCTP,KORD,B77W,21:10,false
RPA4492,KRDU,KORD,E75S,21:11,false
UAL2446,KLGA,KORD,B738,21:12,false
FFT2445,KORD,KLAX,A21N,21:13,false
RPA4511,KORD,KCHA,E75L,21:14,false
BAW6AC,KORD,EGLL,B78X,21:15,false
AAL3243,KMDT,KORD,A319,21:16,false
AAL935,KORD,KAUS,B738,21:16,false
ENY4140,KORD,KAVP,E75L,21:18,false
RPA4640,KORD,KMDT,E75S,21:18,false
AAL403,KORD,KBUF,A319,21:19,false
ENY3895,KORD,KELP,E75L,21:19,false
AAL431,KORD,KSAT,A319,21:19,false
UAL1649,KORD,CYYZ,B738,21:20,false
UAL675,KORD,KBWI,B738,21:20,false
SKW5982,KORD,KCAK,CRJ7,21:20,false
UAL1923,KORD,KCID,B739,21:20,false
UAL457,KORD,KCLE,B739,21:20,false
UAL2148,KORD,KCVG,B738,21:20,false
GJS4589,KORD,KDAY,CRJ7,21:20,false
SKW5255,KORD,KDTW,E75L,21:20,false
SKW5830,KORD,KFWA,CRJ2,21:20,false
UAL2762,KORD,KICT,A319,21:20,false
GJS4468,KORD,KLEX,CRJ7,21:20,false
UAL2317,KORD,KMEM,A319,21:20,false
SKW384W,KORD,KMKE,CRJ7,21:20,false
UAL5362,KORD,KMKE,E75L,21:20,false
ENY3896,KORD,KMSY,E75L,21:20,false
RPA3464,KORD,KPIT,E75L,21:20,false
SKW5274,KORD,KSBN,CRJ2,21:20,false
AAL3054,KORD,KSFO,A21N,21:20,false
UAL1658,KORD,KTUL,B738,21:20,false
AVA262,SKBO,KORD,A20N,21:20,false
ENY3383,KBNA,KORD,E170,21:21,false
SKW6222,KORD,KERI,CRJ7,21:21,false
AAL1424,KDFW,KORD,B738,21:22,false
RPA4698,KORD,KRIC,E75L,21:22,false
ENY4219,KORD,KROC,E170,21:23,false
ICE855,BIKF,KORD,B38M,21:25,false
RPA4663,KORD,KBWI,E75S,21:25,false
UAL1839,KORD,KDSM,A320,21:25,false
RPA3660,KORD,KIND,E75L,21:25,false
SKW460W,KORD,KMCI,E75L,21:25,false
RPA3659,KORD,KSDF,E75L,21:25,false
ENY3873,KORD,KTRI,E170,21:25,false
RPA3572,KORD,KTVC,E170,21:25,false
AMX688,MMMX,KORD,B38M,21:25,false
AAL2550,KSFO,KORD,A21N,21:27,false
UAL1131,KORD,KMSP,B739,21:28,false
ENY3493,KORD,KAVL,E170,21:29,false
SKW6193,KORD,KAZO,CRJ7,21:29,false
ENY3757,KORD,KBHM,E170,21:29,false
DAL2413,KSLC,KORD,B738,21:29,false
AAL1372,KATL,KORD,A319,21:30,false
AAL1639,KBZN,KORD,B38M,21:30,false
FIN10,KORD,EFHK,A333,21:30,false
GJS4447,KORD,KBHM,CRJ7,21:30,false
UAL1492,KORD,KCMH,A320,21:30,false
SKW491L,KORD,KDLH,CRJ2,21:30,false
UAL1209,KORD,KEWR,A21N,21:30,false
SKW4789,KORD,KFAR,CRJ7,21:30,false
SKW4916,KORD,KFNT,CRJ7,21:30,false
UAL1842,KORD,KFSD,A319,21:30,false
UAL661,KORD,KLAX,A21N,21:30,false
SKW5228,KORD,KLIT,E75L,21:30,false
SKW5317,KORD,KMBS,CRJ2,21:30,false
UAL1625,KORD,KOMA,B39M,21:30,false
SKW5331,KORD,KRAP,E75L,21:30,false
GJS4451,KORD,KSGF,CRJ7,21:30,false
SKW5767,KORD,KXNA,CRJ7,21:30,false
UAL845,KORD,SBGR,B78X,21:30,false
AAL2786,KPHX,KORD,A321,21:30,false
RPA4774,KPWM,KORD,E75L,21:30,false
ENY3466,KCLE,KORD,E75L,21:31,false
ENY4144,KSTL,KORD,E170,21:33,false
AAL2780,KSLC,KORD,B738,21:34,false
SKW5450,KDCA,KORD,E75L,21:35,false
AAL3318,KLGA,KORD,B738,21:35,false
UAL912,KORD,BIKF,B753,21:35,false
UAL2106,KORD,KSFO,A21N,21:35,false
AAL2627,KSMF,KORD,B738,21:35,false
SKW6285,KRIC,KORD,CRJ7,21:36,false
FDX1205,KORD,KMEM,B763,21:37,true
SKW6399,KMCI,KORD,CRJ7,21:38,false
UAL2480,KSFO,KORD,B772,21:38,false
AAL1398,KAUS,KORD,B38M,21:39,false
UAL1411,KDEN,KORD,A21N,21:39,false
AAL1844,KGPI,KORD,A319,21:40,false
UAL2197,KIAH,KORD,A21N,21:40,false
DLH4C,KORD,EDDM,A359,21:40,false
UAL938,KORD,EGLL,B763,21:40,false
SKW5303,KORD,KGRR,E75L,21:40,false
UAL2766,KORD,KIAD,B38M,21:40,false
UAL2665,KORD,KIAH,B739,21:40,false
ENY3910,KORD,KTVC,E75L,21:40,false
UAL769,KORD,LEBL,B788,21:40,false
UAL416,KORD,LIMC,B78X,21:40,false
UAL1779,KORD,KBOS,A21N,21:41,false
AAL2903,KDCA,KORD,A319,21:42,false
ENY3738,KOMA,KORD,E75L,21:42,false
RPA4717,KBWI,KORD,E75S,21:44,false
RPA4455,KCMH,KORD,E75S,21:45,false
ENY4062,KLIT,KORD,E170,21:45,false
SKW404X,KORD,KCMX,CRJ2,21:45,false
AAL490,KORD,KPHL,B38M,21:45,false
UAL1744,KORD,KPHL,B38M,21:45,false
AAL150,KORD,LFPG,B788,21:45,false
ENY3626,KSGF,KORD,E170,21:45,false
SKW6218,KBTV,KORD,CRJ7,21:46,false
SKW6433,KALB,KORD,CRJ7,21:47,false
SKW5048,KORD,KLAF,CRJ2,21:49,false
ENY3753,KORD,KLAN,E170,21:49,false
SKW6398,KSYR,KORD,CRJ7,21:49,false
LOT4,KORD,EPWA,B788,21:50,false
UAL377,KORD,KDEN,B739,21:50,false
SKW572U,KORD,KJST,CRJ2,21:50,false
AAL2296,KPIT,KORD,B738,21:50,false
AAL2640,KSNA,KORD,B38M,21:50,false
RPA5640,KJFK,KORD,E75S,21:52,false
DAL1563,KMSP,KORD,BCS1,21:52,false
UAL2801,KTPA,KORD,B739,21:53,false
SKW5124,KORD,KEAU,CRJ2,21:55,false
CAL5239,KORD,PANC,B744,21:55,true
ENY3500,KDTW,KORD,E170,21:57,false
FFT1483,KORD,KDEN,A21N,21:57,false
JBU805,KJFK,KORD,BCS3,21:58,false
UAL785,KATL,KORD,B737,21:59,false
AAL1880,KORD,KLAS,B738,21:59,false
ENY3846,KXNA,KORD,E170,21:59,false
ENY3454,KCHS,KORD,E75L,22:00,false
AAL627,KCLT,KORD,B738,22:00,false
AAL1734,KDEN,KORD,B38M,22:00,false
AAL2013,KLAS,KORD,B38M,22:00,false
UAL1621,KMCO,KORD,B739,22:00,false
SKW6274,KOKC,KORD,CRJ7,22:00,false
GJS4495,KORD,KATW,CRJ7,22:00,false
SKW533T,KORD,KCOU,CRJ7,22:00,false
RPA4776,KORD,KCVG,E75S,22:00,false
GJS4610,KORD,KGRB,CRJ7,22:00,false
SKW6498,KORD,KLEX,CRJ7,22:00,false
SKW5539,KORD,KMLI,CRJ7,22:00,false
UAL630,KORD,KMSN,B738,22:00,false
GJS4603,KORD,KPIA,CRJ7,22:00,false
UPS603,KORD,KSDF,A306,22:00,true
GJS4576,KORD,KSTL,CRJ7,22:00,false
SKW6438,KROC,KORD,CRJ7,22:00,false
AAL2524,KSEA,KORD,A321,22:00,false
ENY3827,KTUL,KORD,E75L,22:00,false
